id;name;countrycode;flag_url;region
2421;Uganda;UGA;uganda.png;Africa
2422;Botswana;BOT;botswana.png;Africa
2423;Comoros;COM;comoros.png;Africa
2424;Kenya;KEN;kenya.png;Africa
2425;Guinea-Bissau;GNB;guinea-bissau.png;Africa
2426;Morocco;MAR;morocco.png;Africa
2427;Libya;LBY;libya.png;Africa
2428;São Tomé and Príncipe;STP;sao-tome-and-principe.png;Africa
2429;Tanzania;TAN;tanzania.png;Africa
2430;Chad;CHA;chad.png;Africa
2431;Mozambique;MOZ;mozambique.png;Africa
2432;Rwanda;RWA;rwanda.png;Africa
2433;Mauritius;MRI;mauritius.png;Africa
2434;Sierra Leone;SLE;sierra-leone.png;Africa
2435;Ethiopia;ETH;ethiopia.png;Africa
2436;Lesotho;LES;lesotho.png;Africa
2437;Seychelles;SEY;seychelles.png;Africa
2438;Niger;NIG;niger.png;Africa
2439;Namibia;NAM;namibia.png;Africa
2440;Burundi;BDI;burundi.png;Africa
2441;Zimbabwe;ZIM;zimbabwe.png;Africa
2442;Swaziland;SWZ;swaziland.png;Africa
2443;Gambia;GAM;gambia.png;Africa
2444;Mauritania;MTN;mauritania.png;Africa
3233;Saint Vincent and the Grenadines;SVG;saint-vincent-and-the-grenadines.png;America
